"","lat","long","sog","cog","heading","rot","nav_stt","timestamp","mmsi","shiptype","ship_name","year_of_build","country_of_build","ship_status_eff_date","ship_type_group","ship_type_level2","flag_code","flag_eff_date","flag_name","port_of_registry","call_sign","charterer_latest_reported","class_narrative","displacement","draught","length_registered","net_tonnage","pandi_club","sale_price_usd","doc_company","group_ben_owner","group_ben_ownercountry_ofcontrol","operator","registered_owner","registered_owner_countryofregistration","ship_manager","ship_manager_countryofcontrol","technical_mgr","ship_builder","grosstonnage","deadweight","lengthoverallloa","lengthbetweenperpendicularslbp","countryofeconomicbenefit","fueltype1capacity","fueltype1code","fueltype1first"
"0","40.7575","29.506120000000003","10.300000190734863","267.39999389648443","262.0","0.0","0.0","2022-02-16 13:27:00",244010871,"75","HEEMSKERKGRACHT",2009,"China, People's Republic Of",20090821,"General Cargo 10,000-14,999dwt","Dry Cargo/Passenger","NTH",201609,"Netherlands","Amsterdam","PBOQ","","Bureau Veritas (2022-04-00) BV: Special Survey Date: 2022-04-12 Class Notation: I General cargo ship -heavycargo,-equipped for carriage of containers, GREEN PASSPORT EU ,  AUT-UMS , MON-SHAFT , ICE CLASS IA , GRABLOADING , INWATERSURVEY Service Restriction: Unrestricted navigation",17972,8,130.71,4260,"Standard Club",8300000,"Spliethoff's Bevrachtings BV","Spliethoff's Bevrachtings BV","Netherlands","Spliethoff's Bevrachtings BV","Rederij Heemskerkgracht","Netherlands","Spliethoff's Bevrachtings BV","Netherlands","Spliethoff's Bevrachtings BV","Jiangdong Shipyard",9611,12678,138.12,130,"Netherlands",130,"DF","Distillate Fuel"
"1","40.74176","29.37702","7.5","263.5","264.0","-127.0","1.0","2022-02-16 22:53:00",677017000,"75","SIBEL J",1979,"Germany, Federal Republic Of",19791229,"General Cargo <=4,999 dwt","Dry Cargo/Passenger","TZZ",201202,"Tanzania (Zanzibar)","Zanzibar","5IM270","","Maritime Lloyd Georgia (2017-01-00)",4946,4.22,".000",1518,"Unknown","NULL","Unknown","Unknown","","Karina Shipping Ltd-MAI","Karina Shipping Ltd-MAI","Marshall Islands","Karina Shipping Ltd-MAI","","Unknown","Elsflether Ag",2862,3128,98.71,91.88,"Marshall Islands",".00","YY","Yes, But Type Not Known"
"2","40.741306","29.316190000000002","8.300000190734862","265.70001220703125","265.0","0.0","1.0","2022-02-16 23:13:00",677017000,"75","SIBEL J",1979,"Germany, Federal Republic Of",19791229,"General Cargo <=4,999 dwt","Dry Cargo/Passenger","TZZ",201202,"Tanzania (Zanzibar)","Zanzibar","5IM270","","Maritime Lloyd Georgia (2017-01-00)",4946,4.22,".000",1518,"Unknown","NULL","Unknown","Unknown","","Karina Shipping Ltd-MAI","Karina Shipping Ltd-MAI","Marshall Islands","Karina Shipping Ltd-MAI","","Unknown","Elsflether Ag",2862,3128,98.71,91.88,"Marshall Islands",".00","YY","Yes, But Type Not Known"
"3","40.82678","28.885027","0.10000000149011612","5.800000190734862","213.0","0.0","0.0","2022-02-16 07:17:00",371999000,"75","FILIA JOY",2009,"China, People's Republic Of",20091104,"Bulk Carrier-Supra/Ultramax","Bulk Carriers","PAN",200911,"Panama","Panama","3FIN9","CNR","Bureau Veritas (2009-09-00)Survey Type: Date: 2009-11  BV: Special Survey Date: 2019-12-13 Class Notation: I Bulk carrier BC-A ( maximum cargo density 3.00 t/m3; holds 2,4 may be empty) ESP, VeriSTAR-HULL ,  AUT-UMS , MON-SHAFT , INWATERSURVEY Service Restriction: Unrestricted navigation",63708,12.49,183.04,18159,"North of England","NULL","Pitiousa Shipping SA","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Filia Joy Shipping Co SA","Panama","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Yangzhou Dayang Shipbuilding",31117,53473,189.99,182,"Greece",230,"DF","Distillate Fuel"
"4","40.826767","28.886114000000003","0.10000000149011612","271.0","186.0","0.0","0.0","2022-02-16 06:57:00",371999000,"75","FILIA JOY",2009,"China, People's Republic Of",20091104,"Bulk Carrier-Supra/Ultramax","Bulk Carriers","PAN",200911,"Panama","Panama","3FIN9","CNR","Bureau Veritas (2009-09-00)Survey Type: Date: 2009-11  BV: Special Survey Date: 2019-12-13 Class Notation: I Bulk carrier BC-A ( maximum cargo density 3.00 t/m3; holds 2,4 may be empty) ESP, VeriSTAR-HULL ,  AUT-UMS , MON-SHAFT , INWATERSURVEY Service Restriction: Unrestricted navigation",63708,12.49,183.04,18159,"North of England","NULL","Pitiousa Shipping SA","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Filia Joy Shipping Co SA","Panama","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Yangzhou Dayang Shipbuilding",31117,53473,189.99,182,"Greece",230,"DF","Distillate Fuel"
"6","41.3796","29.023983","0.699999988079071","25.0","8.0","0.0","0.0","2022-02-16 13:07:00",374540000,"75","HTK NEPTUNE",2007,"Japan",20070807,"Bulk Carrier-Large Handy","Dry Cargo/Passenger","PAN",201812,"Panama","Panama","3FDD","Falcon","Nippon Kaiji Kyokai (2007-08-00)Survey Type: Date: 2007-08  NK: Special Survey Date: 2020-06-06 Class Notation: NS(BC-A)(IWS)(IHM) /MNSCHG, MPP, LSA, RCF, AFS, BWM",45382,10.85,170.58,12674,"West of England",11500000,"HTK Shipping & Import Export","Vietnam Govt","Vietnam","HTK Shipping & Import Export","HTK Shipping & Import Export","Vietnam","HTK Shipping & Import Export","Vietnam","HTK Shipping & Import Export","Saiki Heavy Industries Co Ltd",22698,37426,177.8,169.8,"Vietnam",285,"DF","Distillate Fuel"
"7","40.816105","28.916113","0.20000000298023224","0.10000000149011612","25.0","0.0","0.0","2022-02-16 03:37:00",538008955,"75","DORYSIA",2010,"Korea, South",20101026,"Bulk Carrier-Large Handy","Bulk Carriers","MAI",202005,"Marshall Islands","Majuro","V7A2947","Jlauritzen","Det Norske Veritas (2020-05-00) NV: Special Survey Date: 2020-12-24 Class Notation: (+) 1A1 Bulk carrier BC(A) BIS BWM(E(s)) COAT-PSPC(B) CSR E0 ESP Grab(20 t) Holds(2,4)may be empty TMON",45337,10.918,178.93,12334,"Gard",8900000,"Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","","Caliber Maritime SA-LIB","Hyundai Mipo Dockyard Co Ltd",22691,36863,187,178,"Greece",160,"DF","Distillate Fuel"
"8","40.8259","28.918153999999998","0.30000001192092896","337.20001220703125","10.0","0.0","0.0","2022-02-16 06:52:00",538008955,"75","DORYSIA",2010,"Korea, South",20101026,"Bulk Carrier-Large Handy","Bulk Carriers","MAI",202005,"Marshall Islands","Majuro","V7A2947","Jlauritzen","Det Norske Veritas (2020-05-00) NV: Special Survey Date: 2020-12-24 Class Notation: (+) 1A1 Bulk carrier BC(A) BIS BWM(E(s)) COAT-PSPC(B) CSR E0 ESP Grab(20 t) Holds(2,4)may be empty TMON",45337,10.918,178.93,12334,"Gard",8900000,"Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","","Caliber Maritime SA-LIB","Hyundai Mipo Dockyard Co Ltd",22691,36863,187,178,"Greece",160,"DF","Distillate Fuel"
"9","40.74812","29.61223","15.800000190734865","276.70001220703125","276.0","0.0","0.0","2022-02-16 13:04:00",244010871,"75","HEEMSKERKGRACHT",2009,"China, People's Republic Of",20090821,"General Cargo 10,000-14,999dwt","Dry Cargo/Passenger","NTH",201609,"Netherlands","Amsterdam","PBOQ","","Bureau Veritas (2022-04-00) BV: Special Survey Date: 2022-04-12 Class Notation: I General cargo ship -heavycargo,-equipped for carriage of containers, GREEN PASSPORT EU ,  AUT-UMS , MON-SHAFT , ICE CLASS IA , GRABLOADING , INWATERSURVEY Service Restriction: Unrestricted navigation",17972,8,130.71,4260,"Standard Club",8300000,"Spliethoff's Bevrachtings BV","Spliethoff's Bevrachtings BV","Netherlands","Spliethoff's Bevrachtings BV","Rederij Heemskerkgracht","Netherlands","Spliethoff's Bevrachtings BV","Netherlands","Spliethoff's Bevrachtings BV","Jiangdong Shipyard",9611,12678,138.12,130,"Netherlands",130,"DF","Distillate Fuel"
"10","40.864914","28.830753","7.699999809265138","81.80000305175781","81.0","-7.0","0.0","2022-02-16 06:58:00",371773000,"75","RHINE RIVER",2007,"Russia",20070615,"General Cargo 5,000-9,999 dwt","Dry Cargo/Passenger","PAN",202008,"Panama","Panama","H8WV","","Registro Italiano Navale (2020-08-00)Survey Type: Date: 2007-06  RI: Special Survey Date: 2017-06-29 Class Notation: C+ general cargo ship - double side-skin MN (+)AUT-UMS ICE CLASS IC Service Restriction: Special International",8612,5.06,117.06,2841,"Unknown","NULL","Rivers Group Denizcilik Ltd","Rivers Group Denizcilik Ltd","Turkey","Rivers Group Denizcilik Ltd","Rhine River Shipping Corp","Panama","Rivers Group Denizcilik Ltd","Turkey","Rivers Group Denizcilik Ltd","Krasnoye Sormovo",4922,6354,121.7,114.22,"Turkey",103,"DF","Distillate Fuel"
